Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Dummy
Eastern Mari,Definitely endangered,414211,56.632,47.8784,1
Ingush,Vulnerable,405343,43.145,45.1043,1
Erzya,Definitely endangered,400000,54.1302,45.4394,1
Ho,Vulnerable,400000,21.637,86.4404,1
Judezmo (Israel),Severely endangered,400000,32.0872,34.7737,1
Lalo,Vulnerable,400000,25.383,99.9426,1
Limousin,Severely endangered,400000,46.0579,1.8017,1
Logudorese,Definitely endangered,400000,40.1116,9.1845,1
Mapuche (Chile),Definitely endangered,400000,-38.5653,-73.081,1
Central Náhuatl,Vulnerable,395581,19.191,-99.0236,1
Moselle Franconian,Vulnerable,390000,49.6071,6.1248,1
Bantawa,Vulnerable,371056,27.0994,87.0048,1
Santa,Vulnerable,360000,35.5411,102.7935,1
Mingrelian,Definitely endangered,350000,42.4599,41.7205,1
West Frisian,Vulnerable,350000,53.1006,5.6579,1
Gurung,Definitely endangered,338925,28.275,84.1782,1
Guajiro,Vulnerable,318500,11.8673,-71.9824,1
Karachay-Balkar,Vulnerable,302748,44.2137,42.8466,1
Adyge,Vulnerable,300000,44.9181,39.7485,1
Buryat (Trans-Baikal),Definitely endangered,300000,50.8336,109.5117,1
Kurru,Definitely endangered,300000,16.6151,81.6284,1
Kuvi,Definitely endangered,300000,18.9478,83.5839,1
Limbu,Definitely endangered,300000,27.096,87.7356,1
Moroccan Judeo-Arabic (Israel),Definitely endangered,300000,32.0476,34.7552,1
Plautdietsch,Definitely endangered,300000,47.0738,35.5545,1
Pontic Greek,Definitely endangered,300000,40.847,40.0149,1
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000,-1.8673,-78.9257,1
Waxiang,Vulnerable,300000,28.5652,110.3576,1
Oyrat,Definitely endangered,280000,46.195,88.7255,1
Garhwali,Vulnerable,279500,30.0976,79.1235,1
Bade,Vulnerable,250000,12.801,11.1181,1
Breton,Severely endangered,250000,48.2246,-3.9331,1
Gascon,Definitely endangered,250000,43.1811,-0.1428,1
Phula (China),Vulnerable,250000,22.6001,104.0004,1
Sora,Vulnerable,250000,19.1244,83.2104,1
Konyak,Vulnerable,248000,26.9367,95.1745,1
Ao,Vulnerable,243000,26.4361,94.6472,1
Tuvan,Vulnerable,242754,51.7134,94.3945,1
Nafusi,Severely endangered,240000,32.6393,13.4252,1
Suret,Definitely endangered,240000,36.4477,43.2971,1
Malto,Definitely endangered,224926,23.7853,85.4736,1
Khowar,Vulnerable,222800,35.8667,71.7956,1
Maiya,Vulnerable,220000,35.3151,72.908,1
Komi,Definitely endangered,217316,62.3087,51.5917,1
Alpine Provençal,Definitely endangered,200000,44.7467,6.6796,1
Gallo,Severely endangered,200000,47.931,-2.0544,1
Gera,Vulnerable,200000,10.5553,10.0579,1
Irula,Vulnerable,200000,11.4369,76.5032,1
Kharia,Vulnerable,200000,21.8003,85.4956,1
Khorasani Turk,Vulnerable,200000,36.6596,57.854,1
Korku,Vulnerable,200000,20.3034,80.2441,1
Moksha,Definitely endangered,200000,54.1817,43.2751,1
Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133,1
Western Cham,Vulnerable,200000,12.0333,105.4333,1
Tshangla,Vulnerable,193000,27.1275,91.9335,1
Thado,Vulnerable,191000,24.4521,93.2354,1
Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951,1
Kului,Definitely endangered,170770,31.4403,77.1487,1
Adi,Vulnerable,170000,28.3527,95.2294,1
Lhota,Vulnerable,170000,26.1603,94.3725,1
Nyishi,Vulnerable,170000,27.5277,93.0981,1
Ngäbere (Panama),Vulnerable,169130,9.3395,-82.2428,1
Kodagu,Definitely endangered,166187,11.6952,75.9375,1
Corsican,Definitely endangered,160000,42.0819,9.0307,1
Dzongkha,Vulnerable,160000,27.44,89.6731,1
Kalmyk,Definitely endangered,153602,46.2026,45.8239,1
Lak,Vulnerable,153373,42.0125,47.2521,1
Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689,1
Latgalian,Vulnerable,150000,56.1822,27.1362,1
Provençal,Severely endangered,150000,43.5485,6.1083,1
Rabha,Vulnerable,150000,25.9284,90.9777,1
Tamzabit,Vulnerable,150000,32.4816,3.6694,1
Sherpa,Vulnerable,143693,27.739,86.839,1
Tangkhul,Vulnerable,142000,25.0358,94.4824,1
Q'aanjob'al,Vulnerable,139830,15.6019,-91.4441,1
Badaga,Definitely endangered,134514,11.3642,76.5266,1
Angami,Vulnerable,132000,25.7553,94.1308,1
Laz,Definitely endangered,130000,41.2736,41.2646,1
Tabasaran,Vulnerable,128391,41.8081,47.9882,1
Chambeali,Definitely endangered,126589,32.9072,76.5307,1
Abkhaz,Vulnerable,125000,43.133,40.8471,1
Phom,Vulnerable,123000,26.7799,94.9493,1
Kolami,Definitely endangered,121855,20.5093,78.1787,1
Navajo,Vulnerable,120000,35.8044,-108.475,1
Sassarese,Definitely endangered,120000,40.6139,8.6132,1
Tamahaq (Algeria),Vulnerable,120000,22.8369,5.5371,1
Konda,Definitely endangered,118597,18.2763,82.9385,1
Sierra Totonac,Severely endangered,118367,20.2461,-97.6586,1
Jaunsari,Definitely endangered,114733,30.4859,78.0908,1
Dimasa,Vulnerable,112000,24.7368,92.9003,1
Ladakhi,Vulnerable,105000,34.0617,77.5909,1
Salar,Vulnerable,104503,36.2752,102.4584,1
Simi,Vulnerable,104000,25.9777,94.5922,1
Phurhepecha,Vulnerable,102988,19.3111,-102.041,1
Crimean Tatar (Crimea),Severely endangered,100000,45.3212,34.3212,1
Dagur (Nonni),Definitely endangered,100000,47.9163,124.1235,1
Francoprovençal,Definitely endangered,100000,45.7828,6.9982,1
Gallurese,Definitely endangered,100000,40.8802,9.4482,1
Mapuche (Argentina),Severely endangered,100000,-40.0791,-71.0156,1
Mehri,Definitely endangered,100000,16.5993,52.8057,1
Miskito (Nicaragua),Vulnerable,100000,12.4001,-83.7332,1
Ordos,Definitely endangered,100000,39.1641,108.1054,1
Quechua of Northern Bolivia,Vulnerable,100000,-15.3649,-69.0518,1
Suba,Vulnerable,100000,-0.9942,34.519,1
Garífuna (Honduras),Vulnerable,98000,15.6754,-88.1476,1
Embera (Colombia),Vulnerable,95000,6.1624,-76.8383,1
Kabui,Vulnerable,95000,24.7218,93.6584,1
Shughni,Vulnerable,95000,37.4879,71.5374,1
Permyak,Definitely endangered,94328,59.204,54.5361,1
Poqomchi',Vulnerable,92941,15.3757,-90.4288,1
Yimchungru,Vulnerable,92000,25.9629,94.9713,1
Nogay (Caucasus),Definitely endangered,90020,43.8028,46.2744,1
Heiban,Vulnerable,90000,10.8575,30.2371,1
Quichua (Cañar and Azuay),Severely endangered,90000,-2.6577,-78.8378,1
Mezquital Otomí,Definitely endangered,88789,20.4831,-99.217,1
Eastern Mazahua,Definitely endangered,88001,19.7129,-99.9515,1
Burushaski,Vulnerable,87000,35.909,74.2153,1
Central Otomí,Definitely endangered,84593,19.4661,-99.5944,1
Chokri,Vulnerable,84000,25.8691,94.7131,1
Sangtam,Vulnerable,84000,26.6032,94.9603,1
Ixil (Guatemala),Vulnerable,83574,15.4849,-91.0358,1
Achi',Vulnerable,82640,15.0845,-90.4888,1
Yem,Vulnerable,81613,7.6347,37.3205,1
Mao,Vulnerable,81000,25.5027,94.2681,1
Arbëresh,Definitely endangered,80000,40.9321,14.8645,1
Lari,Definitely endangered,80000,27.8585,54.8547,1
Páez,Definitely endangered,80000,2.8237,-76.3117,1
Quechua of Santiago del Estero,Definitely endangered,80000,-26.7848,-63.6767,1
Svan,Definitely endangered,80000,43.0207,42.3193,1
Tai Daeng,Vulnerable,80000,19.8833,104.6166,1
Taznatit,Severely endangered,80000,29.3413,0.3955,1
Razihi,Definitely endangered,75000,16.8834,43.2655,1
Wakhi,Definitely endangered,75000,37.1603,74.9047,1
Bishnupriya Manipuri Creole,Vulnerable,72899,24.297,92.4499,1
Acheron,Severely endangered,70000,10.809,30.2453,1
Maori,Vulnerable,70000,-38.4105,177.3632,1
Tai Neua,Vulnerable,70000,20.5166,104.3166,1
Bhadravahi,Definitely endangered,66918,33.5413,76.333,1
Kinnauri,Definitely endangered,65097,31.541,78.3764,1
Gallo-Sicilian,Definitely endangered,65000,38.0167,14.5994,1
Kurux (Bangladesh),Vulnerable,65000,25.8196,88.9672,1
Tz'utujil,Definitely endangered,63237,14.6394,-91.2301,1
Chamorro,Vulnerable,62500,13.4323,144.7338,1
Ashaninka (Peru),Vulnerable,62468,-10.6929,-74.3444,1
Chang,Vulnerable,62000,26.2934,94.9493,1
Kuna (Panama),Vulnerable,61703,9.5983,-79.6334,1
Churahi,Definitely endangered,61199,33.1835,76.5747,1
Nruanghmei,Vulnerable,61000,24.9661,93.5375,1
Rengma,Vulnerable,61000,25.958,94.2462,1
Faroese,Vulnerable,60000,62.0112,-6.7785,1
Northern Tujia,Severely endangered,60000,28.828,109.5904,1
Torwali,Definitely endangered,60000,35.5833,72.5,1
Chuj (Guatemala),Vulnerable,59048,15.8259,-91.4783,1
Kachari,Definitely endangered,59000,25.2844,93.2189,1
Scottish Gaelic,Definitely endangered,58552,58.1011,-6.7675,1
Sierra de Puebla Náhuatl,Definitely endangered,57189,19.6223,-97.8149,1
Limonese Creole,Definitely endangered,55000,9.9916,-83.0316,1
Kashubian,Severely endangered,53000,54.2267,18.1713,1
Khakas,Definitely endangered,52217,53.7746,90.3735,1
Parji,Critically endangered,51216,18.5629,82.8039,1
Arvanitika,Severely endangered,50000,38.1863,23.6096,1
Buryat (Cis-Baikal),Severely endangered,50000,52.7961,104.8809,1
Buryat (Manchuria),Definitely endangered,50000,49.8096,119.7509,1
Cuona Menba,Vulnerable,50000,26.8279,95.3623,1
Eastern Cham,Definitely endangered,50000,10.7833,108.0833,1
Hmar,Vulnerable,50000,24.577,93.3178,1
Huzhu Monguor,Severely endangered,50000,36.7608,102.4255,1
Paite,Vulnerable,50000,24.1968,93.3563,1
Quichua (Imbabura),Definitely endangered,50000,0.1757,-78.2006,1
Soqotri,Severely endangered,50000,12.5331,53.767,1
Southern Altay,Definitely endangered,50000,51.069,86.5942,1
Transylvanian Saxon,Severely endangered,50000,46.214,24.2413,1
Turoyo,Severely endangered,50000,37.405,41.3745,1
Võro-Seto,Definitely endangered,50000,57.8096,27.29,1
West Greenlandic,Vulnerable,50000,64.1681,-51.7236,1
Western Armenian (Turkey),Definitely endangered,50000,41.0213,28.9324,1
Zaramo,Definitely endangered,50000,-6.922,39.2409,1
Zenatiya,Critically endangered,50000,35.5702,1.8099,1
Papantla Totonac,Definitely endangered,49748,20.4477,-97.32,1
Wancho,Vulnerable,49000,26.9759,95.4656,1
Bhumji,Vulnerable,47000,21.8003,86.8139,1
Cosung (China),Definitely endangered,47000,22.6833,102.6666,1
Cosung (Viet Nam),Definitely endangered,47000,22.6166,102.75,1
Baheng (China),Vulnerable,45000,26.19,110.24,1
Lumun,Definitely endangered,45000,10.8387,30.0338,1
Quichua (Loja),Severely endangered,45000,-3.6236,-79.2388,1
Chamling,Definitely endangered,44093,27.0499,86.7329,1
Irish,Definitely endangered,44000,53.7876,-9.1845,1
Reshe,Vulnerable,44000,10.8791,4.6115,1
Sierra Otomí,Vulnerable,43468,20.1021,-97.622,1
Phuthi,Definitely endangered,43000,-29.3791,28.2838,1
Rarotongan,Vulnerable,43000,-21.2343,-159.7837,1
Khalaj,Vulnerable,42100,34.3751,50.3063,1
Dungan,Definitely endangered,41000,42.4518,78.4643,1
Kheza,Vulnerable,41000,25.6811,94.367,1
Jola-Kassa,Vulnerable,40850,13.1089,-15.8999,1
Satār,Vulnerable,40260,26.5541,87.918,1
Guaraní Boliviano,Vulnerable,40000,-20.1694,-63.8525,1
Gutob,Vulnerable,40000,18.7086,83.5839,1
Kheng,Vulnerable,40000,27.0786,91.0272,1
Laro,Definitely endangered,40000,10.7685,29.902,1
Minyong,Vulnerable,40000,28.2632,95.0537,1
Mru,Severely endangered,40000,21.7748,92.2741,1
Patani Malay,Vulnerable,40000,6.6482,100.0387,1
"Quechua of Cajatambo, Pasco and northern Junín",Severely endangered,40000,-10.6147,-76.506,1
Quichua (Napo),Definitely endangered,40000,-0.6371,-77.1459,1
Tangsa,Vulnerable,40000,27.4059,96.427,1
Tetserret,Severely endangered,40000,15.4907,6.2072,1
Awajun,Vulnerable,39000,-4.3464,-77.8271,1
Khiamngan,Vulnerable,38000,26.0518,95.1031,1
Ngile,Severely endangered,38000,10.7901,29.8635,1
Phunoi,Vulnerable,37311,21.6833,102.1,1
Lower Mixe,Vulnerable,37000,16.9616,-95.093,1
Maram,Vulnerable,37000,25.185,93.9715,1
Western Mari,Severely endangered,36822,56.3317,46.5545,1
Chepang,Vulnerable,36807,27.7552,84.8144,1
Chontal Tabasco,Severely endangered,36514,17.7607,-92.5936,1
Muji,Definitely endangered,36500,23.6,102.7333,1
Akatek (Guatemala),Vulnerable,35763,15.5724,-91.4218,1
Huichol,Vulnerable,35724,22.65,-103.5833,1
Romansh,Definitely endangered,35095,46.5777,9.6954,1
Apatani,Vulnerable,35000,27.5228,93.8177,1
Galo,Vulnerable,35000,28.1688,94.7433,1
Korwa,Vulnerable,35000,22.4922,84.1552,1
Shuar chicham,Definitely endangered,35000,-2.8826,-78.0303,1
Ticuna,Definitely endangered,35000,-4.3464,-70.0048,1
Wanka Quechua,Severely endangered,35000,-12.136,-75.2453,1
Sikuani,Vulnerable,34614,3.4256,-68.8183,1
Jakaltek (Guatemala),Definitely endangered,34038,15.6685,-91.7111,1
Liangmai,Vulnerable,34000,25.2794,93.6694,1
Zeme,Vulnerable,34000,25.5027,93.5595,1
Highland Mazatec,Vulnerable,33859,18.1307,-96.8436,1
Thangmi,Definitely endangered,33500,27.6969,86.0057,1
Nocte,Vulnerable,33000,27.1618,95.7952,1
Mayo,Critically endangered,32869,26.9114,-109.6271,1
Lauje,Vulnerable,32000,-0.4531,119.9816,1
Danuwar,Severely endangered,31849,26.9661,86.3223,1
Sirmaudi,Critically endangered,31144,30.9823,77.1569,1
Abaza,Definitely endangered,31000,44.1556,41.9368,1
Koch,Definitely endangered,31000,25.7603,90.3955,1
Amis,Vulnerable,30000,23.4456,121.4483,1
Biak,Vulnerable,30000,-0.3076,131.2207,1
Bumthang,Vulnerable,30000,27.492,90.7159,1
Burgenland Croatian,Definitely endangered,30000,47.8435,16.5179,1
Dzhidi,Definitely endangered,30000,33.5139,48.0102,1
Judeo-Berber (Israel),Severely endangered,30000,31.6767,34.5684,1
Kham,Definitely endangered,30000,28.4321,82.9635,1
Ladin,Definitely endangered,30000,46.5531,11.8597,1
Lepcha,Definitely endangered,30000,27.1153,88.4687,1
Maonan,Vulnerable,30000,24.8341,107.577,1
"Mok (Myanmar, Thailand)",Definitely endangered,30000,21.7333,99.7666,1
Moro,Definitely endangered,30000,10.8872,30.1904,1
Mulam,Vulnerable,30000,24.6341,108.2895,1
North Saami,Definitely endangered,30000,68.9099,22.9394,1
Quechua of Cajamarca,Severely endangered,30000,-7.1772,-78.673,1
Quichua (Pastaza),Definitely endangered,30000,-1.7575,-76.8603,1
Rushani,Definitely endangered,30000,37.8705,71.5979,1
Tagin,Vulnerable,30000,28.038,94.2022,1
Tialo,Vulnerable,30000,0.4888,120.8935,1
Tidikelt,Critically endangered,30000,26.8828,2.5488,1
Toba,Definitely endangered,30000,-25.958,-59.0625,1
Tundra Nenets,Definitely endangered,30000,67.5001,67.7856,1
Vojvodina Rusyn,Definitely endangered,30000,45.6351,19.1903,1
Wuse,Vulnerable,30000,24.878,109.1053,1
Agul,Definitely endangered,29399,41.7518,47.6875,1
Rutul,Definitely endangered,29383,41.5332,47.3181,1
Bateri,Definitely endangered,29000,34.9073,72.8675,1
Mzieme,Vulnerable,29000,25.6019,93.8891,1
Ghale,Vulnerable,28989,28.2501,84.718,1
Sierra Popoluca,Vulnerable,28700,18.245,-94.76,1
Kurux (Nepal),Vulnerable,28615,26.6032,87.2259,1
Deori,Definitely endangered,28000,27.1911,94.1528,1
Soyaltepec Mazatec,Vulnerable,27524,18.2499,-96.3995,1
Western Mazahua,Definitely endangered,27037,19.4372,-100.3552,1
Sibe,Severely endangered,27000,43.6599,81.3427,1
Isthmus Náhuatl,Vulnerable,26632,18.2209,-94.8382,1
Sunwar,Vulnerable,26611,27.3485,86.2337,1
Mancagne,Vulnerable,26450,12.7743,-15.6967,1
Gadaba,Critically endangered,26262,18.3858,82.7819,1
Banat Bulgarian,Definitely endangered,25000,45.4832,20.9069,1
Csángó Hungarian,Severely endangered,25000,46.7925,27.1911,1
Koda,Vulnerable,25000,22.1263,87.0776,1
Minhe Monguor,Definitely endangered,25000,36.4919,102.6452,1
Miskito (Honduras),Vulnerable,25000,15.3393,-84.6034,1
Olonetsian,Definitely endangered,25000,61.1273,32.8765,1
Saek,Definitely endangered,25000,19.3166,104.7833,1
Sioux,Vulnerable,25000,43.0588,-102.5244,1
Tamazight (Beni Iznassen),Definitely endangered,25000,34.7506,-2.1917,1
Tsakhur,Definitely endangered,25000,41.6523,46.9775,1
Warao,Definitely endangered,25000,8.6027,-61.3806,1
Majhi,Severely endangered,24664,27.9208,83.5082,1
Jone,Definitely endangered,24000,34.5947,103.5653,1
Andi,Definitely endangered,23729,42.7308,46.2963,1
Guambiano,Definitely endangered,23462,2.6138,-76.3906,1
Anal,Vulnerable,23000,24.1517,93.9385,1
Hawrami,Definitely endangered,23000,35.4259,46.2551,1
Juang,Definitely endangered,23000,21.0742,85.6164,1
Tiwa,Definitely endangered,23000,25.7801,92.5927,1
Embera (Panama),Vulnerable,22485,8.1179,-77.7429,1
Ediamat,Vulnerable,22025,12.2621,-16.5289,1
Mara,Definitely endangered,22000,23.5237,92.9003,1
Maring,Vulnerable,22000,24.6769,94.3835,1
Polci cluster,Definitely endangered,22000,9.9742,9.3328,1
Sarikoli,Definitely endangered,22000,37.9463,75.1272,1
Krongo,Definitely endangered,21688,10.585,29.8883,1
Ashtiani,Definitely endangered,21000,34.4861,51.0562,1
Khunsari,Definitely endangered,21000,32.8795,51.6796,1
Semnani,Definitely endangered,21000,34.8679,53.4924,1
Plains Cree,Vulnerable,20933,56.3544,-113.8345,1
Higher Reservoir Mazatec,Vulnerable,20665,18.158,-96.7045,1
Chilchotla Mazatec,Vulnerable,20585,18.2934,-96.7029,1
"Zapotec of the Valleys, middle northwest",Definitely endangered,20448,17.05,-96.6333,1
Aluo,Definitely endangered,20000,25.9368,102.1839,1
Bangni,Vulnerable,20000,28.0331,93.0651,1
Bru,Definitely endangered,20000,15.3174,105.4938,1
Cho-ca-nga-ca-kha,Definitely endangered,20000,27.4107,91.2277,1
Crimean Tatar (Dobruja),Severely endangered,20000,43.9414,28.3062,1
Dhimal,Severely endangered,20000,26.6192,87.4635,1
Griko (Salento),Severely endangered,20000,40.1578,18.2208,1
Kaiowá Guarani,Vulnerable,20000,-21.5812,-55.0759,1
Karelian (Karelia),Definitely endangered,20000,63.0474,33.4616,1
Khoirao,Vulnerable,20000,25.2198,94.1583,1
Manchad,Vulnerable,20000,32.6578,77.5415,1
Mariupolitan Greek,Severely endangered,20000,47.1364,37.5444,1
Padam,Vulnerable,20000,28.2463,95.3668,1
Pemon (Venezuela),Vulnerable,20000,5.1347,-61.853,1
Tacenwit,Vulnerable,20000,36.5703,2.2892,1
Tangwang,Definitely endangered,20000,35.7643,102.8979,1
Western Neo-Aramaic,Definitely endangered,20000,33.8339,36.5405,1
Yaghnobi,Definitely endangered,20000,38.5632,68.4475,1
Yaw,Definitely endangered,20000,21.6,94.8333,1
Yeyi,Definitely endangered,20000,-19.4562,23.2031,1
Boro,Definitely endangered,19878,10.3581,35.0024,1
Sorbian,Definitely endangered,19500,51.5001,14.4744,1
Biete,Definitely endangered,19000,25.6514,93.2409,1
Hrangkhol,Vulnerable,19000,24.1467,92.3071,1
Terena,Severely endangered,19000,-20.2841,-55.4638,1
Kati,Definitely endangered,18700,35.3845,71.3177,1
Kulung,Vulnerable,18686,27.518,86.9375,1
Kaingang,Definitely endangered,18500,-28.1495,-52.4707,1
Lowland Mazatec,Vulnerable,18389,18.0801,-96.5236,1
Vafsi,Definitely endangered,18000,34.0867,49.8861,1
Bassari,Vulnerable,17910,12.4419,-12.6617,1
Bayot,Vulnerable,17150,12.4218,-16.4149,1
Pochuri,Vulnerable,17000,25.6712,94.779,1
Tamahaq (Libya),Definitely endangered,17000,24.9611,10.1733,1
Swampy Cree,Vulnerable,16685,53.9849,-97.7626,1
Koraga,Critically endangered,16665,11.6952,75.6738,1
Oyda,Vulnerable,16597,5.9438,36.6503,1
Pangvali,Critically endangered,16285,33.4589,76.9152,1
Shipibo-Conibo,Definitely endangered,16085,-8.4289,-74.6411,1
Amba,Vulnerable,16000,0.6737,30.198,1
Tsez,Definitely endangered,15356,42.2376,45.8734,1
Bonan,Definitely endangered,15000,36.089,102.843,1
Chrau,Definitely endangered,15000,10.5634,107.1496,1
Dari,Definitely endangered,15000,31.8402,54.1625,1
Dzala,Vulnerable,15000,27.7078,91.3623,1
Ersu,Definitely endangered,15000,28.7778,102.1277,1
Gangte,Definitely endangered,15000,24.1968,93.587,1
Gurdu-Mbaaru,Severely endangered,15000,9.7415,10.4534,1
Ha-lung Tibetan,Definitely endangered,15000,27.6831,87.8256,1
Hlersu,Vulnerable,15000,24.3789,102.046,1
Juk,Definitely endangered,15000,15.3333,106.85,1
Kwama,Vulnerable,15000,9.5465,34.2059,1
Laemae,Severely endangered,15000,26.4179,98.7758,1
Lavua,Definitely endangered,15000,18.4483,98.1848,1
Macushi (Brazil),Vulnerable,15000,3.7765,-61.1279,1
Nahali,Definitely endangered,15000,21.4735,74.0258,1
Naluo,Vulnerable,15000,26.5895,100.8506,1
Nyoe,Definitely endangered,15000,14.9102,104.6049,1
O'odham (Akimel),Definitely endangered,15000,33.059,-112.0479,1
O'odham (Tohono),Definitely endangered,15000,31.9186,-111.8798,1
Paiwan,Vulnerable,15000,22.4313,120.7809,1
Rao,Definitely endangered,15000,25.871,107.0476,1
Semai,Severely endangered,15000,4.3039,101.445,1
Shatt,Severely endangered,15000,10.8117,29.7235,1
Siwi,Definitely endangered,15000,29.1905,25.5322,1
Tagargrent,Severely endangered,15000,30.9587,4.0209,1
Tayurayt,Vulnerable,15000,36.5648,1.9061,1
Totoli,Vulnerable,15000,0.8953,120.2838,1
Aruaco,Vulnerable,14799,10.0986,-73.5424,1
Yakkha,Critically endangered,14648,27.1908,87.3358,1
Kuruba,Critically endangered,14613,11.4369,76.3549,1
Tuamotuan,Definitely endangered,14400,-14.9354,-147.7455,1
Katla,Definitely endangered,14208,11.7329,29.3939,1
Garífuna (Belize),Vulnerable,14061,17.1833,-88.5833,1
Thulung,Definitely endangered,14034,27.4534,86.6423,1
Bawm,Definitely endangered,14000,22.1874,92.6477,1
Guajajara,Vulnerable,14000,-4.8282,-46.8017,1
Niuean,Definitely endangered,14000,-19.0491,-169.8706,1
Uhunduni,Vulnerable,14000,-4.2054,137.031,1
Gusilay,Vulnerable,13950,12.7019,-16.4382,1
Xavante,Vulnerable,13303,-14.4832,-53.5305,1
Dondo,Vulnerable,13000,0.747,120.4266,1
Khampti,Vulnerable,13000,27.8827,96.5093,1
Nalu,Definitely endangered,13000,10.9523,-14.7629,1
Tagoi,Severely endangered,13000,10.8252,30.1657,1
Karko,Definitely endangered,12986,11.964,29.4186,1
San Mateo del Mar Huave,Vulnerable,12667,16.2,-94.9833,1
